Product Name,Brand,Category/Type,Ingredients,Size/Packaging,Product Image URL,Product Page URL
"ABIB – Heartleaf Creme Calming Tube, 75ml",ABIB,Bulk Moisturizer,"Heartleaf (Houttuynia Cordata) Extract
– provides anti-inflammatory and antibacterial benefits, soothing redness and irritation while helping to regulate sebum production.
Centella Asiatica Extract
– promotes skin healing, strengthens the barrier, and calms inflammation.
Panthenol (Vitamin B5)
– hydrates, softens, and soothes the skin, maintaining long-lasting comfort.
Allantoin
– protects sensitive skin, smooths texture, and supports regeneration.
Hyaluronic Acid
– delivers intense hydration, k...",75 ml,https://qudobeauty.com/wp-content/uploads/2025/04/ABIB-Heartleaf-Creme-Calming-Tube-75ml-PURESEOUL-UK-KBeauty-Shop-600x600.webp,https://qudobeauty.com/product/abib-heartleaf-creme-calming-tube-75ml/
"ABIB – Heartleaf TECA Capsule Serum Calming Drop, 50ml",ABIB,Bulk Serums,"Heartleaf (Houttuynia Cordata) Extract
– provides anti-inflammatory and antibacterial properties, helping to soothe and protect irritated or acne-prone skin.
TECA (Centella Asiatica Extract Complex: Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid)
– calms inflammation, promotes healing, and strengthens the skin barrier.
Panthenol (Vitamin B5)
– deeply hydrates and soothes, improving elasticity and reducing dryness.
Niacinamide (Vitamin B3)
– brightens the complexion, refines pores, an...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/AbibHeartleafTecaCapsuleSerumCalmingDrop50ml-1.webp,https://qudobeauty.com/product/abib-heartleaf-teca-capsule-serum-calming-drop-50ml/
"ABIB – Glutathiosome Dark Spot Serum Vita Drop, 50ml",ABIB,Bulk Serums,"Glutathione
– a powerful antioxidant that brightens the skin, reduces pigmentation, and protects against free radical damage.
Niacinamide (Vitamin B3)
– visibly brightens the complexion, refines pores, and strengthens the skin barrier.
Vitamin Complex (B5, C, E)
– revitalizes and nourishes the skin while improving clarity and resilience.
Alpha-Arbutin
– helps fade dark spots and discoloration for a more even skin tone.
Adenosine
– supports skin elasticity and smoothness, providing anti-aging ben...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/thumb_VD-600x600.webp,https://qudobeauty.com/product/abib-glutathiosome-dark-spot-serum-vita-drop-50ml/
ABIB – Airy Sunstick SPF50+ PA++++,ABIB,SPF Wholesale,"SPF50+ / PA++++ UV Filters
– offer strong, broad-spectrum protection against UVA and UVB rays, preventing sunburn and skin aging.
Centella Asiatica Extract
– calms irritation, reduces redness, and supports the skin’s natural healing process.
Ceramide NP
– reinforces the skin barrier and prevents moisture loss during sun exposure.
Aloe Vera Leaf Extract
– soothes and hydrates the skin, providing comfort throughout the day.
Hyaluronic Acid
– delivers lightweight hydration and keeps the skin smooth...",see packaging.,https://qudobeauty.com/wp-content/uploads/2025/04/SB-A__Thumb_337754de-d25e-47b5-b3c9-d8e6a7eb9da8-600x600.webp,https://qudobeauty.com/product/abib-tone-up-quick-smoothing-sunstick-bar-spf50-pa/
"ABIB – Gum Sheet Mask Collagen Milk Sticker, 1ea",ABIB,Face Masks Wholesale,"Hydrolyzed Collagen
– boosts firmness and elasticity, helping to smooth and plump fine lines.
Milk Extract
– rich in proteins and vitamins, deeply nourishes and softens the skin for a radiant complexion.
Niacinamide (Vitamin B3)
– brightens dull skin tone and improves uneven pigmentation.
Adenosine
– supports anti-aging care by reducing the appearance of wrinkles and improving skin resilience.
Panthenol (Vitamin B5)
– soothes and moisturizes, maintaining a soft and smooth texture.
Hyaluronic Aci...",1 sheet (27 ml),https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Gummy-Sheet-Mask-Collagen-Milk-Sticker-sentisenti-600x600.webp,https://qudobeauty.com/product/abib-gum-sheet-mask-collagen-milk-sticker-1ea/
"ABIB – Jericho Rose Bifida Serum Firming Drop, 50ml",ABIB,Bulk Serums,"Jericho Rose Extract
– a desert plant known for its exceptional ability to retain moisture; revitalizes and hydrates dry, fatigued skin.
Bifida Ferment Lysate
– a probiotic ingredient that strengthens the skin barrier, enhances elasticity, and improves resistance to external stressors.
Adenosine
– smooths fine lines and supports skin elasticity for a firmer appearance.
Niacinamide (Vitamin B3)
– brightens dull skin and helps even out the complexion.
Hyaluronic Acid
– provides long-lasting hydrat...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Jericho-Rose-Bifida-Serum-Firming-Drop-50ml-600x600.jpg,https://qudobeauty.com/product/abib-jericho-rose-bifida-serum-firming-drop-50ml/
"ABIB – Heartleaf Essence Calming Pump, 50ml",ABIB,Bulk Serums,"Heartleaf (Houttuynia Cordata) Extract 80%
– delivers powerful anti-inflammatory and antibacterial benefits, reducing redness, irritation, and acne.
Centella Asiatica Extract
– calms and repairs damaged skin, promoting a healthy, balanced complexion.
Panthenol (Vitamin B5)
– provides moisture and strengthens the skin barrier to prevent dryness and irritation.
Hyaluronic Acid
– deeply hydrates and helps retain moisture for smooth, supple skin.
Allantoin
– soothes and protects sensitive skin while...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/heartleaf-essence-calming-50ml-600x726-1.jpg,https://qudobeauty.com/product/abib-heartleaf-essence-calming-pump-50ml/
"ABIB – Jericho Rose Collagen Pad Firming Touch, 250ml 60pads",ABIB,Cleanser Wholesale,"Jericho Rose Extract
– known for its exceptional water-retaining power, it hydrates and revitalizes dry, tired skin.
Hydrolyzed Collagen
– enhances elasticity, firms the skin, and helps reduce visible wrinkles.
Peptide Complex
– promotes collagen production, supports skin resilience, and improves smoothness.
Niacinamide (Vitamin B3)
– brightens the complexion and evens out skin tone.
Adenosine
– smooths fine lines and supports anti-aging benefits.
Hyaluronic Acid
– delivers long-lasting hydratio...",250 ml (60 pads),https://qudobeauty.com/wp-content/uploads/2025/04/jericho-rose-collagen-pad-firming-touch-dischete-hidratante-250-ml_26090_1_1718860990-600x600.webp,https://qudobeauty.com/product/abib-jericho-rose-collagen-pad-firming-touch-250ml-60pads/
"ABIB – Gummy Sheet Mask #Vita Sticker, 27ml",ABIB,Face Masks Wholesale,"Multi-Vitamin Complex (B3, B5, B7, B9, C, E)
– helps brighten dull skin, improve tone, and protect from oxidative stress.
Niacinamide (Vitamin B3)
– visibly brightens and refines skin texture, reducing the look of dark spots.
Vitamin C Derivative
– enhances radiance and promotes an even complexion.
Panthenol (Vitamin B5)
– moisturizes and soothes the skin while strengthening its barrier.
Hyaluronic Acid
– provides deep hydration and keeps the skin plump and smooth.
Allantoin
– calms and comforts...",27 ml (1 sheet),https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Gummy-Sheet-Mask-Vita-Sticker--600x600.webp,https://qudobeauty.com/product/abib-gummy-sheet-mask-vita-sticker-27ml/
"ABIB – Heartleaf Calming Toner Skin Booster, 200ml/6.76oz",ABIB,Bulk Toners,"Heartleaf (Houttuynia Cordata) Extract 80%
– renowned for its strong anti-inflammatory and antibacterial properties, it soothes sensitive skin and helps calm breakouts.
Centella Asiatica Extract
– promotes healing, reduces redness, and strengthens the skin barrier.
Panthenol (Vitamin B5)
– hydrates and soothes irritation while reinforcing barrier protection.
Hyaluronic Acid
– provides deep hydration and locks in moisture for long-lasting comfort.
Allantoin
– calms irritation, leaving the skin so...",200 ml / 6.76 oz,https://qudobeauty.com/wp-content/uploads/2025/04/website-1841beab-dd7e-4d1b-9e2c-04bc86e2686f-600x600.webp,https://qudobeauty.com/product/abib-heartleaf-calming-toner-skin-booster-200ml-6-76oz/
"ABIB – Rice Probiotics Overnight Mask Barrier Jelly, 80ml",ABIB,Face Masks Wholesale,"Rice Bran Extract
– rich in amino acids and vitamins, it nourishes, softens, and brightens the skin while improving elasticity.
Probiotic Complex (Lactobacillus Ferment, Bifida Ferment Lysate)
– strengthens the skin barrier, balances the microbiome, and enhances resistance to external stressors.
Niacinamide (Vitamin B3)
– brightens dull skin, refines pores, and improves uneven tone.
Adenosine
– smooths fine lines and supports elasticity for firmer-looking skin.
Panthenol (Vitamin B5)
– deeply hy...",80 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Rice-Probiotics-Overnight-Mask-Barrier-Jelly-80ml-600x600.jpg,https://qudobeauty.com/product/abib-rice-probiotics-overnight-mask-barrier-jelly-80ml/
"ABIB – Gummy Sheet Mask Madecassoside Sticker, 27ml",ABIB,Face Masks Wholesale,"Madecassoside
– a powerful soothing ingredient derived from Centella Asiatica; calms inflammation, promotes healing, and strengthens the skin barrier.
Centella Asiatica Extract
– relieves irritation and redness while supporting regeneration of damaged skin.
Panthenol (Vitamin B5)
– hydrates, soothes, and improves skin elasticity.
Allantoin
– softens and protects the skin while reducing sensitivity.
Hyaluronic Acid
– provides long-lasting hydration and plumps the skin.
Niacinamide (Vitamin B3)
– ...",27 ml (1 sheet),https://qudobeauty.com/wp-content/uploads/2025/04/abib-gummy-sheet-mask-madecassoside-sticker-1pc-29-600x600.webp,https://qudobeauty.com/product/abib-gummy-sheet-mask-madecassoside-sticker-27ml/
"ABIB – Collagen Eye Creme Jericho Rose Tube, 30ml",ABIB,Eye Cream Wholesale,"Jericho Rose Extract
– delivers intense hydration and revitalization, helping to restore elasticity and life to tired skin.
Hydrolyzed Collagen
– enhances firmness and elasticity while reducing fine lines and wrinkles.
Peptide Complex
– boosts skin resilience, promotes collagen production, and smooths texture.
Niacinamide (Vitamin B3)
– brightens dark circles and evens out tone.
Adenosine
– supports anti-aging care by reducing wrinkles and improving elasticity.
Panthenol (Vitamin B5)
– hydrates ...",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/1726486118468214-600x600.webp,https://qudobeauty.com/product/abib-collagen-eye-creme-jericho-rose-tube-30ml/
"ABIB – Mild Acidic pH Sheet Mask – Heartleaf Fit, 1ea",ABIB,Face Masks Wholesale,"Heartleaf (Houttuynia Cordata) Extract
– delivers anti-inflammatory and antibacterial benefits to calm irritation, reduce redness, and help prevent breakouts.
Centella Asiatica Extract
– supports skin regeneration and strengthens the barrier while soothing inflammation.
Panthenol (Vitamin B5)
– hydrates, soothes, and protects the skin from dryness and irritation.
Hyaluronic Acid
– provides deep hydration and maintains smooth, supple skin.
Allantoin
– comforts sensitive skin and promotes healing....",1 sheet (27 ml),https://qudobeauty.com/wp-content/uploads/2025/04/Abib-MildAcidicpHSheetMaskHeartleafFit-moonastorenz_620x-600x600.webp,https://qudobeauty.com/product/abib-mild-acidic-ph-sheet-mask-heartleaf-fit-1-ea/
ABIB – Gummy Sheet Mask #Heartleaf Sticker 27ml – 1ea,ABIB,Face Masks Wholesale,"Heartleaf (Houttuynia Cordata) Extract
– provides antibacterial and anti-inflammatory care to soothe irritation and reduce redness.
Centella Asiatica Extract
– supports skin repair and calms sensitivity for a healthy, balanced complexion.
Panthenol (Vitamin B5)
– hydrates, soothes, and strengthens the skin barrier.
Allantoin
– relieves irritation and promotes smooth, supple skin.
Hyaluronic Acid
– deeply moisturizes and maintains skin elasticity.
Niacinamide (Vitamin B3)
– refines pores, brighte...",1 sheet (27 ml),https://qudobeauty.com/wp-content/uploads/2025/04/abib-gummy-sheet-mask-heartleaf-sticker-63617989181823.webp,https://qudobeauty.com/product/abib-gummy-sheet-mask-heartleaf-sticker-27ml-1ea/
"Anua – Rice 70 Glow Milky Toner, 250ml",Anua,Bulk Toners,"Rice Extract (70%)
– rich in amino acids and minerals that brighten the complexion, smooth texture, and deeply moisturize the skin.
Niacinamide (Vitamin B3)
– brightens dull skin, refines pores, and improves uneven tone for a radiant glow.
Panthenol (Vitamin B5)
– provides soothing hydration, enhances softness, and strengthens the skin barrier.
Allantoin
– calms and protects the skin while promoting smoothness.
Hyaluronic Acid
– delivers multi-layer hydration, keeping the skin plump, dewy, and r...",250 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Rice-70-Glow-Milky-Toner-250ml-1-600x600.jpg,https://qudobeauty.com/product/anua-rice-70-glow-milky-toner-250ml/
"Anua – Heartleaf Silky Moisture Sun Cream SPF50+ PA++++, 50ml",Anua,SPF Wholesale,"Heartleaf (Houttuynia Cordata) Extract
– calms redness and irritation while helping to purify and balance sensitive or acne-prone skin.
Centella Asiatica Extract
– promotes healing, strengthens the skin barrier, and soothes inflammation.
Panthenol (Vitamin B5)
– deeply hydrates and locks in moisture for long-lasting comfort.
Niacinamide (Vitamin B3)
– brightens dull skin, refines pores, and enhances overall skin tone.
Hyaluronic Acid
– delivers multi-layer hydration, keeping the skin soft, suppl...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Heartleaf-Silky-Moisture-Sun-Cream-3.jpg,https://qudobeauty.com/product/anua-heartleaf-silky-moisture-sun-cream-spf50-pa-50ml/
"Anua – PDRN Hyaluronic Acid Capsule 100 Serum, 30ml",Anua,Bulk Serums,"PDRN (Polydeoxyribonucleotide)
– stimulates skin cell regeneration, enhances elasticity, and strengthens the skin barrier for a youthful, resilient complexion.
Hyaluronic Acid Capsules
– provide deep, multi-layer hydration, helping to smooth fine lines and maintain long-lasting moisture.
Niacinamide (Vitamin B3)
– brightens dull skin, refines pores, and evens out tone for a radiant glow.
Panthenol (Vitamin B5)
– soothes and hydrates the skin while reinforcing barrier strength.
Centella Asiatica ...",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/XXL_p0214877431-600x600.webp,https://qudobeauty.com/product/anua-pdrn-hyaluronic-acid-capsule-100-serum-30ml/
"Anua – Birch 70 Moisture Boosting Serum, 30ml",Anua,Bulk Serums,"Birch Sap (70%)
– rich in amino acids, minerals, and antioxidants that hydrate and revitalize the skin while improving texture and elasticity.
Hyaluronic Acid
– provides multi-layer hydration to keep the skin soft, supple, and plump.
Panthenol (Vitamin B5)
– soothes and strengthens the skin barrier, reducing dryness and irritation.
Allantoin
– calms and softens the skin, enhancing comfort and smoothness.
Centella Asiatica Extract
– soothes sensitive or stressed skin and supports barrier recovery...",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/41pOWQSEMYL-600x600.jpg,https://qudobeauty.com/product/anua-birch-70-moisture-boosting-serum-30ml/
"Anua – Birch 70 Moisture Boosting Toner, 250ml",Anua,Bulk Toners,"Birch Sap (70%)
– packed with amino acids, minerals, and antioxidants that hydrate, soothe, and revitalize tired or dry skin.
Hyaluronic Acid
– provides multi-level hydration, keeping the skin supple and dewy.
Panthenol (Vitamin B5)
– strengthens the moisture barrier and reduces irritation.
Allantoin
– softens, smooths, and protects the skin from dryness.
Centella Asiatica Extract
– soothes inflammation and enhances resilience for sensitive skin.
Product effects:
deeply hydrates and restores ski...",250 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Birch-70-Moisture-Boosting-Toner.jpg,https://qudobeauty.com/product/anua-birch-70-moisture-boosting-toner-250ml/
"Anua – Heartleaf LHA Moisture Peeling Gel, 120ml",Anua,Cleanser Wholesale,"Heartleaf (Houttuynia Cordata) Extract
– calms redness, purifies the skin, and helps control excess sebum, ideal for sensitive or acne-prone skin.
LHA (Lipo Hydroxy Acid)
– a gentle exfoliating acid that removes dead skin cells, clears clogged pores, and smooths rough texture without irritation.
Panthenol (Vitamin B5)
– hydrates and strengthens the skin barrier while soothing sensitivity.
Allantoin
– softens and comforts the skin, reducing dryness and redness after exfoliation.
Hyaluronic Acid
–...",120 ml,https://qudobeauty.com/wp-content/uploads/2025/04/anua-us-cleanser-200ml-heartleaf-lha-moisture-peeling-gel-1161189356-600x600.webp,https://qudobeauty.com/product/anua-heartleaf-lha-moisture-peeling-gel-120ml/
"Anua – Peach 77% Niacin Enriched Cream, 50ml",Anua,Bulk Moisturizer,"Peach Extract (77%)
– rich in vitamins, minerals, and antioxidants that brighten dull skin, refine texture, and enhance the natural glow.
Niacinamide (Vitamin B3)
– evens out skin tone, minimizes pores, and strengthens the skin barrier for improved clarity and resilience.
Panthenol (Vitamin B5)
– soothes and hydrates the skin, maintaining smoothness and comfort throughout the day.
Hyaluronic Acid
– provides multi-layer hydration, keeping the skin plump, supple, and dewy.
Centella Asiatica Extrac...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/anua-peach-77-niacin-enriched-cream-crema-faciala-50-ml134977-600x600.jpg,https://qudobeauty.com/product/anua-peach-77-niacin-enriched-cream-50ml/
"Anua – Peach 77% Niacin Essence Toner, 250ml",Anua,Bulk Toners,"Peach Extract (77%)
– rich in vitamins and antioxidants that brighten dull skin, refine texture, and provide lasting hydration.
Niacinamide (Vitamin B3)
– improves uneven skin tone, refines pores, and strengthens the skin barrier for a smooth, radiant finish.
Hyaluronic Acid
– delivers deep moisture to keep the skin hydrated, supple, and fresh.
Panthenol (Vitamin B5)
– soothes, softens, and supports long-lasting hydration.
Allantoin
– calms and protects sensitive skin while promoting smoothness....",250 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Peach-77-Niacin-Essence-Toner.jpg,https://qudobeauty.com/product/anua-peach-77-niacin-essence-toner-250ml/
"Anua – Peach 70 Niacin Serum, 30ml",Anua,Bulk Serums,"Peach Extract (70%)
– rich in vitamins, amino acids, and antioxidants that nourish, hydrate, and revitalize the skin while promoting a natural glow.
Niacinamide (Vitamin B3)
– brightens the complexion, improves uneven tone, minimizes pores, and strengthens the skin barrier.
Hyaluronic Acid
– delivers multi-layer hydration to keep the skin plump and dewy.
Panthenol (Vitamin B5)
– soothes and hydrates, maintaining smoothness and comfort.
Allantoin
– softens the skin, reduces irritation, and enhanc...",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Korean_Skincare_Routine_maroc_korean_skincare_maroc_cosrx_beauty_of_joseon_maroc_produits_korean_maroc_cosrx_maroc_anua_maroc_anua_toner_maroc_the_ordinary_maroc_creme_solair_maroc_cr_943079d2-fb12--600x600.webp,https://qudobeauty.com/product/anua-peach-70-niacin-serum-30ml/
"Anua – Nano Retinol 0.3% + Niacin Renewing Serum, 30ml",Anua,Bulk Serums,"Nano Retinol (0.3%)
– promotes cell turnover, smooths fine lines, and improves skin elasticity for a firmer, more youthful look.
Niacinamide (Vitamin B3)
– brightens uneven skin tone, minimizes pores, and strengthens the skin barrier to improve overall texture.
Panthenol (Vitamin B5)
– hydrates and soothes the skin, reducing dryness or irritation associated with retinol use.
Hyaluronic Acid
– delivers multi-layer moisture, keeping skin plump and supple.
Allantoin
– calms and protects sensitive s...",30 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Ontwerpzondertitel_f2e20a2b-27c4-4f9d-bc49-1253ac9d2e71-600x600.webp,https://qudobeauty.com/product/anua-nano-retinol-0-3-niacin-renewing-serum-30ml/
